id,name,movietitle,dialogues,budget,source
32,Dudley Demented,Harry Potter and the Order of the Phoenix,"What happened, Duddikins?","$150,000,000 ",denum
3,Malfoy Manor,Harry Potter and the Deathly Hallows Part 1,Please! please!,"$200,000,000 ",denum
8,Perilous Potions,Harry Potter and the Half-Blood Prince,I d-don't understand --,"$250,000,000 ",denum
2,Place to Hide,Harry Potter and the Deathly Hallows Part 1,This is Dolohov.  I recognize him from the wanted posters.,"$200,000,000 ",denum
1,Sectumsempra,Harry Potter and the Half-Blood Prince,Sectumsempra!,"$250,000,000 ",denum
4,Wizards Duel,Harry Potter and the Order of the Phoenix,"If you and your men will proceed to the Death Room, you will find several Death Eaters which I and some others have apprehended.","$150,000,000 ",denum
3,Dumbledore's Will,Harry Potter and the Deathly Hallows Part 1,"Where is your guard, sir?","$200,000,000 ",denum
3,The Patronus,Harry Potter and the Prisoner of Azkaban,Did not.,"$130,000,000 ",denum
1,The Forbidden Forest,Harry Potter and the Philosopher's Stone,"If I didn't know better, Draco, I'd say you were scared.","$125,000,000 ",denum
7,Dark Forces,Harry Potter and the Half-Blood Prince,Good.  And take Weasley with you. He looks far too happy over there.,"$250,000,000 ",denum
14,The First Task,Harry Potter and the Goblet of Fire,Lose a leg.,"$150,000,000 ",denum
10,The Department of Mysteries,Harry Potter and the Order of the Phoenix,What's they do to her?,"$150,000,000 ",denum
24,Horcruxes,Harry Potter and the Half-Blood Prince,"I was in the library the other night, in the Restricted section, and I read something rather odd, about a bit of rare magic and I thought perhaps you could illuminate me.  It's called, as I understand it... a Horcrux.","$250,000,000 ",denum
3,Ministry Interior,Harry Potter and the Deathly Hallows Part 1,You're somebody.  Be careful.,"$200,000,000 ",denum
32,The Vanishing Glass,Harry Potter and the Philosopher's Stone,"Why don't you just cook the breakfast, and try not to burn anything.","$125,000,000 ",denum
6,Your Mother's Eyes,Harry Potter and the Deathly Hallows Part 2,You've kept him alive so that he can die at the proper moment. You've been raising him like a pig for slaughter.,"$250,000,000 ",denum
18,Snape's Worst Memory,Harry Potter and the Order of the Phoenix,Expelliarmus!,"$150,000,000 ",denum
3,Hermione's Secret,Harry Potter and the Prisoner of Azkaban,"The point is, we know the truth. Please believe us.","$130,000,000 ",denum
1,Horace Slughorn,Harry Potter and the Half-Blood Prince,"It's alright, sir.  I'll go back tomorrow, make some excuse --","$250,000,000 ",denum
88,The Hearing,Harry Potter and the Order of the Phoenix,I was sitting on my porch when I saw the two Dementors gliding towards the two boys.,"$150,000,000 ",denum
1,The Lost Prophecy,Harry Potter and the Order of the Phoenix,I already know all this.,"$150,000,000 ",denum
1,Grim Defeat,Harry Potter and the Prisoner of Azkaban,But you made it go away.,"$130,000,000 ",denum
4,Welcome Back,Harry Potter and the Chamber of Secrets,"Before we begin the feast, let us have a round of applause for Professor Sprout and Madame Pomfrey, whose Mandrake juice has been so successfully administered to all who had been Petrified. Also, in light of the recent events, as a school treat, all exams have been canceled.","$100,000,000 ",denum
2,Backfire,Harry Potter and the Chamber of Secrets,Harry! Harry!,"$100,000,000 ",denum
2,Sacrifice Play,Harry Potter and the Philosopher's Stone,Check.,"$125,000,000 ",denum
2,A Way of Coming Back,Harry Potter and the Order of the Phoenix,Yeah ?,"$150,000,000 ",denum
2,An Unexpected Challenge,Harry Potter and the Goblet of Fire,What else? I ran for it. I'm not cut out for this Harry. I don't know what got into me.,"$150,000,000 ",denum
10,New Seeker,Harry Potter and the Philosopher's Stone,AHH!,"$125,000,000 ",denum
28,Mudbloods and Murmurs,Harry Potter and the Chamber of Secrets,"Fame is a fickle friend, Harry. Celebrity is as celebrity does. Remember that.","$100,000,000 ",denum
4,Horcruxes,Harry Potter and the Half-Blood Prince,And should I tell you to abandon me and save yourself...,"$250,000,000 ",denum
42,Snape's Worst Memory,Harry Potter and the Order of the Phoenix,Apologize to her! Now!,"$150,000,000 ",denum
4,Dark Forces,Harry Potter and the Half-Blood Prince,"Once there was a young man who, like you, sat in this very Hall. Walked this castle's corridors. Slept beneath its roof.  He seemed, to all the world, a student like any other.  His name? Tom Riddle. The Hall goes utterly silent.","$250,000,000 ",denum
3,The Yule Ball,Harry Potter and the Goblet of Fire,You know the solution then don't you.,"$150,000,000 ",denum
52,Quidditch,Harry Potter and the Philosopher's Stone,The Quaffle is released...and the game begins!,"$125,000,000 ",denum
1,The Deathly Hallows,Harry Potter and the Deathly Hallows Part 1,"He knows where it is, You-Know- Who.  He'll have it by the end of the night.  He's found the Elder Wand.","$200,000,000 ",denum
4,Dreams and Suspicions,Harry Potter and the Goblet of Fire,Cast them away.,"$150,000,000 ",denum
1,Through the Trapdoor,Harry Potter and the Philosopher's Stone,"That was no stranger Hagrid met in the village. It was Snape, which means he knows how to get past Fluffy.","$125,000,000 ",denum
21,In a Cage,Harry Potter and the Chamber of Secrets,"I should think you'd be a little more grateful. We've raised you since you were a baby, given you the food off our table, even let you have Dudley's second bedroom, purely out of the goodness of our hearts.","$100,000,000 ",denum
1,The Egg's Clue,Harry Potter and the Goblet of Fire,What's that supposed to mean?,"$150,000,000 ",denum
26,The Order of the Phoenix,Harry Potter and the Order of the Phoenix,He's not an adult either!,"$150,000,000 ",denum
1,Heir of Slytherin,Harry Potter and the Chamber of Secrets,"Hagrid's my friend! And you framed him, didn't you?","$100,000,000 ",denum
1,Witnesses to an Execution,Harry Potter and the Prisoner of Azkaban,Ow! Hagrid!,"$130,000,000 ",denum
9,Not Over,Harry Potter and the Deathly Hallows Part 2,Nagini! With me!,"$250,000,000 ",denum
4,The Astronomy Tower,Harry Potter and the Half-Blood Prince,"I often talk aloud to myself.  I find it extraordinarily useful. That which sounds sane at a whisper can seem utterly mad when said for all the world to hear. Haven't been whispering to yourself, have you, Draco?","$250,000,000 ",denum
1,The Lost Prophecy,Harry Potter and the Order of the Phoenix,You don't have a clue! You can't possibly know!,"$150,000,000 ",denum
1,Dudley Demented,Harry Potter and the Order of the Phoenix,"Big D? Cool name, but to me, you'll always be Ikkle Duddicums.","$150,000,000 ",denum
1,Polyjuice Potion,Harry Potter and the Chamber of Secrets,Wingardium leviosa. Here they come.,"$100,000,000 ",denum
31,The Seven Potters,Harry Potter and the Deathly Hallows Part 1,I don't understand.  Isn't he coming with us?,"$200,000,000 ",denum
1,Free Agents,Harry Potter and the Half-Blood Prince,Dragon balls.,"$250,000,000 ",denum
3,Mark of Love,Harry Potter and the Philosopher's Stone,Never better.,"$125,000,000 ",denum
56,The Advance Guard,Harry Potter and the Order of the Phoenix,"They're gone, Alastor.","$150,000,000 ",denum
2,Felix Felicis,Harry Potter and the Half-Blood Prince,Really?,"$250,000,000 ",denum
2,Welcome and Warning,Harry Potter and the Prisoner of Azkaban,I will.,"$130,000,000 ",denum
2,Chamber of Secrets,Harry Potter and the Chamber of Secrets,Aaah!,"$100,000,000 ",denum
25,Imperius Curse,Imperio,Total control over the victim,NULL,spells
2,Best Foot Forward,Harry Potter and the Goblet of Fire,Where?,"$150,000,000 ",denum
20,Death Eaters Attack,Harry Potter and the Half-Blood Prince,"No, Harry!  It's a trap!","$250,000,000 ",denum
44,Dark Lord Ascending,Harry Potter and the Deathly Hallows Part 1,"Yes, m-my lord.  Right away, my lord.","$200,000,000 ",denum
23,Flourish and Blotts,Harry Potter and the Chamber of Secrets,"Busy time at the Ministry, Arthur, all those extra raids? I do hope they're paying you overtime, but judging by the state of this, I'd say not. What's the use in being a disgrace to the name of wizard if they don't even pay you well for it.","$100,000,000 ",denum
8,The Half Blood Prince,Harry Potter and the Half-Blood Prince,Twice.  Once when I was twenty- four.  Once when I was fifty- seven.  Two tablespoons taken at breakfast.  Two perfect days...,"$250,000,000 ",denum
3,He's After You,Harry Potter and the Deathly Hallows Part 2,But I hate that thing -- that's the wand that killed Sirius! How can I hold it and not feel...,"$250,000,000 ",denum
1,Perilous Potions,Harry Potter and the Half-Blood Prince,Well... Brilliant.,"$250,000,000 ",denum
3,The Half Blood Prince,Harry Potter and the Half-Blood Prince,How did you do that?,"$250,000,000 ",denum
3,Broken Ranks,Harry Potter and the Deathly Hallows Part 1,Stop!  Stop!,"$200,000,000 ",denum
1,Transforming Malfoy,Harry Potter and the Goblet of Fire,"I don't give a damn what you or your father thinks Malfoy. He's vile and cruel, and you're just pathetic.","$150,000,000 ",denum
25,What Could Be Safer?,Harry Potter and the Half-Blood Prince,"He's lovely.  They've been known to sing on Boxing Day, you know. Quibbler?","$250,000,000 ",denum
36,Transforming Malfoy,Harry Potter and the Goblet of Fire,"Are you serious? And Fleur and Krum, do they...?","$150,000,000 ",denum
51,Dumbledore's Will,Harry Potter and the Deathly Hallows Part 1,I came alone.  I don't really need them anymore...,"$200,000,000 ",denum
75,Boggart in the Wardrobe,Harry Potter and the Prisoner of Azkaban,"That's a boggart, that is.","$130,000,000 ",denum
55,Hogwarts Reunion,Harry Potter and the Deathly Hallows Part 2,"Yes, but Luna, it's lost. For centuries now. There's not a person alive today who's seen it.","$250,000,000 ",denum
3,The Unforgivable Curses,Harry Potter and the Goblet of Fire,"Stop it! Can't you see it's bothering him, stop it!","$150,000,000 ",denum
1,To Diagon Alley,Harry Potter and the Chamber of Secrets,"I was lost, I- hang on. What were you doing down there, then?","$100,000,000 ",denum
3,The Dark Mark,Harry Potter and the Goblet of Fire,"This is horrible, how can the ministry not know who conjured it. Isn't there any security or?","$150,000,000 ",denum
31,The Vanishing Glass,Harry Potter and the Philosopher's Stone,"Wake up, cousin! We're going to the zoo!","$125,000,000 ",denum
88,The Hearing,Harry Potter and the Order of the Phoenix,I-I felt them. It was horrible...like I would never be happy again.,"$150,000,000 ",denum
6,Not Expelled... Today,Harry Potter and the Chamber of Secrets,You were seen by no less than seven Muggles. Do you have any idea how serious this is? You have risked the exposure of our world. Not to mention the damage you inflicted on a Whomping Willow that's been on these grounds since before you were born.,"$100,000,000 ",denum
1,Place to Hide,Harry Potter and the Deathly Hallows Part 1,Do you reckon everyone's alright at the wedding?  Maybe we should --,"$200,000,000 ",denum
14,Best Foot Forward,Harry Potter and the Goblet of Fire,Never.,"$150,000,000 ",denum
2,Fallen Warrior,Harry Potter and the Deathly Hallows Part 1,"What I'm saying is, if we do this thing right, if we find the Horcruxes and begin to destroy them one by one...","$200,000,000 ",denum
1,Horcruxes,Harry Potter and the Half-Blood Prince,Accio Horcrux!,"$250,000,000 ",denum
1,A Parselmouth,Harry Potter and the Chamber of Secrets,"I know. I mean, I accidentally set a python on my cousin Dudley at the zoo once. Uh, once! But, so what? I bet loads of people here can do it.","$100,000,000 ",denum
31,Dudley Demented,Harry Potter and the Order of the Phoenix,"Oh, it's you.","$150,000,000 ",denum
1,Ministry Interior,Harry Potter and the Deathly Hallows Part 1,I'll tell you later.  Let's find Hermione.,"$200,000,000 ",denum
1,The Seven Potters,Harry Potter and the Deathly Hallows Part 1,The real one...?,"$200,000,000 ",denum
2,The Order of the Phoenix,Harry Potter and the Order of the Phoenix,"We've only seen him twice, and not for very long. He's really busy.","$150,000,000 ",denum
14,Dumbledore's Will,Harry Potter and the Deathly Hallows Part 1,Brilliant!,"$200,000,000 ",denum
1,Sirius Conversation,Harry Potter and the Goblet of Fire,What are you saying?,"$150,000,000 ",denum
1,Transforming Malfoy,Harry Potter and the Goblet of Fire,Dragons. That's the first task. They've got one for each of us.,"$150,000,000 ",denum
1,Diagon Alley,Harry Potter and the Philosopher's Stone,"First year students will require: three sets of work robes, one wand.","$125,000,000 ",denum
2,Place to Hide,Harry Potter and the Deathly Hallows Part 1,How the ruddy --,"$200,000,000 ",denum
31,The Vanishing Glass,Harry Potter and the Philosopher's Stone,"Mummy, dad, come here! You won't believe what this snake is doing!","$125,000,000 ",denum
14,The Portkey,Harry Potter and the Goblet of Fire,That isn't just any old manky boot mate.,"$150,000,000 ",denum
3,I Hope He Finds Me,Harry Potter and the Prisoner of Azkaban,"Ron, look! Sorry, sorry. Excuse me, excuse me, sorry. Harry, what happened?","$130,000,000 ",denum
2,Writing on the Wall,Harry Potter and the Chamber of Secrets,I don't like spiders What's that?,"$100,000,000 ",denum
1,Broken Ranks,Harry Potter and the Deathly Hallows Part 1,I don't understand.  What part of this isn't living up to your expectations?  Did you think we'd be staying in five-star hotels? Finding a Horcrux every other day? Did you think you'd be back to Mummy by Christmas?,"$200,000,000 ",denum
6,Free Agents,Harry Potter and the Half-Blood Prince,"You've just bought yourself a month's detention, McLaggen.","$250,000,000 ",denum
1,Witnesses to an Execution,Harry Potter and the Prisoner of Azkaban,What?,"$130,000,000 ",denum
4,Writing on the Wall,Harry Potter and the Chamber of Secrets,"We will be able to cure her, Argus. As I understand it, Madame Sprout has a very healthy growth of Mandrakes. When matured, a potion will be made which will revive Mrs. Norris. And in the meantime, I strongly recommend caution to all.","$100,000,000 ",denum
3,Ron and Hermione,Harry Potter and the Philosopher's Stone,"Pleasure. You two better change into your robes. I expect we'll be arriving soon.  You've got dirt, on your nose, by the way, did you know? Just there.","$125,000,000 ",denum
